Date,Reason,URL,Status_Code,Additional_Info
2026-04-13,Month Archive Request Failed,https://kerala-lottery-result.com/archive/2026/04,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026/04 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa6513e9270>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-13,Year Archive Fallback Failed,https://kerala-lottery-result.com/archive/2026,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa6513e8f70>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-13,Header Resolution Warning: Draw No not detected,https://www.keralalotteries.net/feeds/posts/default?q=13-04-2026&alt=json,N/A,Check header/footer patterns
2026-04-14,Official Portal Failed,https://statelottery.kerala.gov.in/index.php/lottery-result,N/A,"HTTPSConnectionPool(host='statelottery.kerala.gov.in', port=443): Max retries exceeded with url: /index.php/lottery-result (Caused by ConnectTimeoutError(<HTTPSConnection(host='statelottery.kerala.gov.in', port=443) at 0x7fa6513ce1d0>, 'Connection to statelottery.kerala.gov.in timed out. (connect timeout=15)'))"
2026-04-14,Month Archive Request Failed,https://kerala-lottery-result.com/archive/2026/04,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026/04 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa65139ef50>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-14,Year Archive Fallback Failed,https://kerala-lottery-result.com/archive/2026,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa6513ce4a0>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-14,Header Resolution Warning: Draw No not detected,https://www.keralalotteries.net/feeds/posts/default?q=14-04-2026&alt=json,N/A,Check header/footer patterns
2026-04-15,Official Portal Failed,https://statelottery.kerala.gov.in/index.php/lottery-result,N/A,"HTTPSConnectionPool(host='statelottery.kerala.gov.in', port=443): Max retries exceeded with url: /index.php/lottery-result (Caused by ConnectTimeoutError(<HTTPSConnection(host='statelottery.kerala.gov.in', port=443) at 0x7fa651345f00>, 'Connection to statelottery.kerala.gov.in timed out. (connect timeout=15)'))"
2026-04-15,Month Archive Request Failed,https://kerala-lottery-result.com/archive/2026/04,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026/04 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa6513e8730>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-15,Year Archive Fallback Failed,https://kerala-lottery-result.com/archive/2026,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa6513ce290>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-15,Header Resolution Warning: Draw No not detected,https://www.keralalotteries.net/feeds/posts/default?q=15-04-2026&alt=json,N/A,Check header/footer patterns
